PC1,PC2,label
-0.5770211411873241,-0.6813520401378347,RMALOS
-0.764113402639481,-0.6414020303467877,RMALOS
-0.5589950006859581,-0.5687229505703035,RMALOS
-0.5806382823170907,-0.5701439813938398,RMALOS
-0.6354184721100813,-0.7009352347515636,RMALOS
-0.6314449219099254,-0.6973005881678163,RMALOS
-0.5564368699697638,-0.7203530400252688,RMALOS
-0.6252097643632752,-0.6548715435792541,RMALOS
-0.5843405837456961,-0.5108594625965198,RMALOS
-0.7206020648924456,-0.6046126345940093,RMALOS
-0.6221004633058723,-0.7112385547792092,RMALOS
-0.7040917632361218,-0.5977012346463652,RMALOS
-0.5448919372674628,-0.6282960156279896,RMALOS
-0.7364844854438759,-0.6637429555451966,RMALOS
-0.6044307031697238,-0.5420557932308919,RMALOS
-0.7389616687653089,-0.6606417351983874,RMALOS
-0.7065201732740064,-0.5755295151738283,RMALOS
-0.7305674662977354,-0.48257010313555426,RMALOS
-0.6189004798172755,-0.6167847749936187,RMALOS
-0.5431136254281185,-0.5551467098856478,RMALOS
-0.6181294738161124,-0.6077978952838227,RMALOS
-0.6788299308405189,-0.5636127722420412,RMALOS
-0.6210816399361921,-0.6082708099688265,RMALOS
-0.5594411990608664,-0.5925814833772719,RMALOS
-0.6718562368709755,-0.5879557711195434,RMALOS
-0.6122321092308316,-0.557242533100926,RMALOS
-0.5744838955635405,-0.6702241932138716,RMALOS
-0.7070982473462328,-0.6789131836077696,RMALOS
-0.7099343446763393,-0.6638735538840057,RMALOS
-0.7285745090847293,-0.567199576146943,RMALOS
-0.7222836921539115,-0.6548783923883315,RMALOS
-0.6129206035702214,-0.6473467889517527,RMALOS
-0.7027483779050887,-0.46674823533702303,RMALOS
-0.7320484932131054,-0.5756219709617219,RMALOS
-0.7686049834417777,-0.5015590205330143,RMALOS
-0.5422957980271158,-0.7880406322505162,RMALOS
-0.60669383499394,-0.5238326552049271,RMALOS
-0.6655265980524598,-0.40378264223776705,RMALOS
-0.6700239104081147,-0.5141200788801104,RMALOS
-0.6040997671645898,-0.5814703765113773,RMALOS
-0.6625826390425433,-0.5854054859345575,RMALOS
-0.6920273322785938,-0.4461130103789791,RMALOS
-0.7072692377858573,-0.5709634443207319,RMALOS
-0.7739013671175662,-0.504795522308815,RMALOS
-0.5892036785425403,-0.5733441109911598,RMALOS
-0.6768520844950356,-0.6399425797462247,RMALOS
-0.7847770811445164,-0.5507060152574759,RMALOS
-0.5762217061053736,-0.5979850045620103,RMALOS
-0.7316428003727959,-0.5991891058512034,RMALOS
-0.7190284928247133,-0.5808161909962448,RMALOS
-0.6333162738840628,-0.5501864803305901,RMALOS
-0.6735585261562164,-0.5521304480620567,RMALOS
-0.734770512145999,-0.46785304695044116,RMALOS
-0.5884666309300051,-0.5584735944041981,RMALOS
-0.7581990391498005,-0.3897564684852848,RMALOS
-0.7175245880220895,-0.41357534026053777,RMALOS
-0.7261115403661074,-0.3548370545819571,RMALOS
-0.677282040308821,-0.42827963993250745,RMALOS
